date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:01	69/69	---MCZ	200	added ('OK')	text/plain	date:Sun,%2015%20Dec%202024%2005:22:00%20GMT	https://luxurychiangmai.com/robots.txt		(from )
12:59:03	48590/48590	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2005:59:03%20GMT	https://luxurychiangmai.com/	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/index.html	(from )
12:59:04	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2015%20Dec%202024%2005:59:04%20GMT	https://luxurychiangmai.com/xmlrpc.php	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/xmlrpc.php	(from https://luxurychiangmai.com/)
12:59:04	13118/13118	---MCZ	200	added ('OK')	text/css	etag:W/%225cc1369c-333e%22	https://luxurychiangmai.com/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.12	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-content/plugins/instagram-feed/css/sb-instagram.min2f3e.css	(from https://luxurychiangmai.com/)
12:59:04	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://luxurychiangmai.com/)
12:59:04	715/715	---MCZ	200	added ('OK')	text/css	etag:W/%225cc136a1-2cb%22	https://luxurychiangmai.com/wp-content/plugins/official-mailerlite-sign-up-forms/assets/css/mailerlite_forms.css?ver=1.4	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-content/plugins/official-mailerlite-sign-up-forms/assets/css/mailerlite_formsad05.css	(from https://luxurychiangmai.com/)
12:59:04	46360/46360	---MCZ	200	added ('OK')	text/css	etag:W/%225a10c980-b518%22	https://luxurychiangmai.com/wp-includes/css/dashicons.min.css?ver=4.9.26	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-includes/css/dashicons.min092c.css	(from https://luxurychiangmai.com/)
12:59:05	49453/49453	---MCZ	200	added ('OK')	text/css	etag:W/%2259222a00-10bf0%22	https://luxurychiangmai.com/wp-content/themes/edge/style.css?ver=4.9.26	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-content/themes/edge/style092c.css	(from https://luxurychiangmai.com/)
12:59:05	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%22591a4100-7187%22	https://luxurychiangmai.com/wp-content/themes/edge/assets/font-awesome/css/font-awesome.min.css?ver=4.9.26	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-content/themes/edge/assets/font-awesome/css/font-awesome.min092c.css	(from https://luxurychiangmai.com/)
12:59:05	9118/9118	---MCZ	200	added ('OK')	text/css	etag:W/%22591a4100-239e%22	https://luxurychiangmai.com/wp-content/themes/edge/css/responsive.css?ver=4.9.26	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-content/themes/edge/css/responsive092c.css	(from https://luxurychiangmai.com/)
12:59:05	50438/50438	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2005:59:05%20GMT	https://luxurychiangmai.com/page/2/	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/page/2/index.html	(from https://luxurychiangmai.com/)
12:59:05	1401/1401	---MCZ	200	added ('OK')	text/css	etag:W/%225b45a0ac-579%22	https://luxurychiangmai.com/wp-content/plugins/jetpack/modules/widgets/social-icons/social-icons.css?ver=20170506	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-content/plugins/jetpack/modules/widgets/social-icons/social-iconsf4df.css	(from https://luxurychiangmai.com/)
12:59:05	67135/67135	---MCZ	200	added ('OK')	text/css	etag:W/%225b45a09f-1063f%22	https://luxurychiangmai.com/wp-content/plugins/jetpack/css/jetpack.css?ver=6.3.2	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-content/plugins/jetpack/css/jetpacke35d.css	(from https://luxurychiangmai.com/)
12:59:06	96874/96874	---MCZ	200	added ('OK')	application/javascript	etag:W/%226205ca9f-17a6a%22	https://luxurychiangmai.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-includes/js/jquery/jqueryb8ff.js	(from https://luxurychiangmai.com/)
12:59:06	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258114380-2748%22	https://luxurychiangmai.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://luxurychiangmai.com/)
12:59:06	1032/1032	---MCZ	200	added ('OK')	application/javascript	etag:W/%22591a4100-408%22	https://luxurychiangmai.com/wp-content/themes/edge/js/edge-main.js?ver=4.9.26	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-content/themes/edge/js/edge-main092c.js	(from https://luxurychiangmai.com/)
